;text
1473;Cannes - Gallieni - Votre agence vous propose un 3 pièces de 68,16 m² dans une résidence de standing avec piscine et sécurisée. Il est composé d'un grand séjour ouvert deux terrasses, deux chambres, une salle de bains et douches, une cuisine entièrement équipée. Proche commerces et transports,. Vendu avec une cave et un parking sous-sol. 345000 euros Honoraires à la charge du vendeur.
1474;Propriété d'exception, avec charmante villa en position dominante bénéficiant d'une très belle vue mer, piscine, tennis.. Au premier niveau: trois chambres, dressing, 2 salles de bains, WC, bureau / mezzanine. Au rez-de-chaussée: salon avec cheminée, coin salon / bibliothèque, salle à manger, cuisine équipée, une chambre, salle de bains, WC, buanderie. Une salle de billard avec bar, salle d'eau et WC complètent cette maison. Très grande terrasse offrant une vue exceptionnelle sur la mer, et sur le magnifique jardin de 6000 m² avec piscine et terrain de tennis privatif. POSSIBILITÉ DE DIVISION PARCELLAIRE: Fort potentiel !! 2295000 euros Honoraires à la charge du vendeur.
1475;NICE - ST AUGUSTIN. Beau 4 pièces transformé en 3 pièces avec terrasse, très lumineux avec grand séjour spacieux. Appartement traversant avec vue dégagée dans une résidence sécurisée avec portail caméra et digicode. Grand garage fermé en sous-sol et cave. Proche de toute commodité et transport en commun 5MN a pied de la mer.. EXCLUSIVITÉ ORPI 215000 euros Honoraires à la charge du vendeur.
1476;Exclusivité !! Votre agence vous propose dans une résidence de standing avec piscine et parc, un studio de 30 m² en étage élevé, cuisine ouverte sur le séjour donnant sur une belle terrasse de 10 m² avec vue mer. Une cave complète le bien. Possibilité de garage en supplément 175000 euros Honoraires à la charge du vendeur.
1477;Votre agence immobilière ORPI vous propose cette maison de trois chambres au sein d'un domaine fermé avec piscine En rez-de-chaussée, vous découvrirez une entrée donnant sur le séjour, un chambres, un WC, une salle de douche, à l'étage deux chambres. En extérieur, vous profiterez d'une terrasse. Un garage complète ce bien.. 298000 euros (289320 euros Hors Honoraires) - Honoraires Partagés entre le vendeur et l'acquéreur - Honoraires: 3 % TTC à la charge de l'acquéreur inclus.
1478;Quartier Résidentiel St Jean, au coeur d'un magnifique Parc, dans un domaine privé, verdoyant, avec Piscine, de 2015.. Cet EXCEPTIONNEL 2pièces, rez-de-jardin, répondant aux normes label BBC, NEUF, fait avec goût et raffinement, complétement domotisé ?. Au SUD, Baignant de soleil, avec son jardin arboré de 100M²au sol, avec son aperçu Mer, vous bénéficierez avec ce bien: d'un garage fermé et d'une cave.. VENEZ y poser vos valises. RARE !! A voir ABSOLUMENT ! 339200 euros Honoraires à la charge du vendeur.
1479;NICE / BAS SAINT-ROCH: à quelques pas du Tramway et de la Gare de Riquier, dans un bel immeuble Rometti, Superbe appartement 3 pièces exposé Ouest avec terrasse. L'appartement se compose d'une entrée, séjour avec cuisine US, 2 chambres, salle de douches, WC indépendant et terrasse. Chacune des pièces donnent sur la terrasse, l'appartement est climatisé, possibilité d'acquérir une place de parking en sus à 3 minutes à pied. 212000 euros Honoraires à la charge du vendeur.
1480;NICE CORNICHE FLEURIE - Dans une belle résidence sécurisée avec piscine, superbe appartement de 2 pièces avec terrasse et balcons. Entrée, grand séjour avec terrasse et superbe vue mer latérale, chambre avec balcon, salle de bain et cuisine aménagée. Cave, piscine dans la résidence et Garage inclus. 266000 euros Honoraires à la charge du vendeur.
1481;Info Covid 19: Notre équipe reste disponible pour avancer votre projet immobilier.. LE VIEUX CANNET PROCHE MAIRIE: Vaste 2 pièces climatisé de 56 m² situé dans résidence de standing, proche des commodités. Cet appartement est en excellente condition, Il comprend: entrée, séjour sur terrasse, une chambre, une grande cuisine aménagée sur terrasse, salle d'eau avec douche à l'italienne, WC indépendant, Une cave et un emplacement de parking complètent ce bien. Ce bien vous est proposé par votre agence immobilière ORPI.. Visite virtuelle dans votre agence ORPI. 220000 euros Honoraires à la charge du vendeur.
1482;Votre agence vous propose sur Biot un jolie maison de plain pied avec piscine hors sol d'une surface de 100 m² habitable, elle se compose d'un séjour, d'une cuisine avec salle a manger donnant sur une terrasse, 3 chambres, une salle de bain et un WC individuel.. Un garage et buanderie complète ce bien d'une surface de 34 m². A visiter sans tarder !. VIDÉO: 430000 euros Honoraires à la charge du vendeur.
1483;TERRAIN CONSTRUCTIBLE de 869M² plat situé dans un quartier résidentiel sur les hauteurs de Saint Laurent. Exposition sud, calme. 380000 euros Honoraires à la charge du vendeur.
1484;Campelières 3 pièces de 60m² dans une résidence de bon standing au dernier étage traversant est-ouest avec une piscine dans la résidence, vue dégagée exposition ouest et au calme. L'appartement est rénové avec des matériaux de qualités composé d'une entrée, séjour avec cuisine indépendante ouvrable sur le séjour, deux belles chambres l'une avec une salle de bain et la seconde avec une salle d'eau ce qui permet d'avoir deux chambres réellement indépendantes et un WC séparé, le tout donnant sur une terrasse exposé ouest.. Accompagné d'une cave et d'un garage en sous-sol.. Proposé par votre agence immobilière ORPI. 268000 euros Honoraires à la charge du vendeur.
1485;CANNES / BAS PETIT JUAS - Villa toit avec 88 m² de terrasses, de type 3 pièces traversant situé au dernier étage d'une résidence sécurisée.. Entrée, spacieux séjour et cuisine indépendante. Deux chambres parentales de 15m² avec salle de bains et salle de douches privatives + dressing.. Garage en sous-sol EN SUS avec une grande cave attenante et une deuxième cave complètent ce bien.. Votre Agence Orpi vous accueille en respectant la sécurité de tous: port d'un masque, utilisation du gel hydro-alcoolique et respect des distances de sécurité. Nos visites et rendez-vous se déroulent en adoptant les gestes barrières. 855000 euros Honoraires à la charge du vendeur.
1486;NICE / VAUBAN. Dans un très bel immeuble sécurisé de 2015, en étage, un 3 pièces de 58 m² en parfait état, composé d'un séjour avec cuisine américaine équipée donnant sur une terrasse exposé sud, 2 chambres avec placards, salle de bains, WC indépendants.. Cet appartement vous séduira par son calme et sa luminosité. GARAGE de plain-pied. VISITE VIRTUELLE DISPONIBLE SUR DEMANDE. EXCLUSIVITÉ ORPI. 296500 euros Honoraires à la charge du vendeur.
1487;....NICE - MUSICIENS Appartement de 2 pièces en étage élevé d'un immeuble....niçois exposé plein sud et en excellent état il se compose d'un salon avec cuisine équipée intégrée et d'une chambre avec dressing et salle de douches. Un balcon filant est accessible par le salon. Cet appartement est vendu avec une cave. Nombre de lots: non communiqué Montant moyen annuel de la quote-part des charges courantes: 1 140 € Aucune procédure en cours menée sur le fondement des articles 29-1 A et 29-1 de la loi n° 65-557 du 10/07/1965 et de l'article L. 615-6 du CCH Réf. annonce : 4338301............Obtenir l'adresse......Être rappelé......Demander une visite......
1488;VIEUX NICE - PLACE ST FRANÇOIS - F3 - DUPLEX - RÉNOVÉ - CALME - LUMINEUX SPÉCIAL CONFINEMENT ! VISITEZ CE BIEN SANS SORTIR DE CHEZ VOUS ! IDÉAL INVESTISSEMENT LOCATIF OU PIED A TERRE RENTABILITÉ 9% !! F3 à Nice - VIEUX NICE / PLACE SAINT FRANÇOIS: Situé sur la Place Saint François, au coeur de Nice de ses commerces, à 50 M du tramway et à quelques minutes à pied des plages, et du cour Saleya. Au 3ème et dernier étage d'un bel immeuble niçois où l'ensemble des travaux de copropriété ont été réalisé récemment: ravalement de façade et toiture. Ce 3 pièces en duplex d'angle, calme et lumineux, à été entièrement rénové avec goût, séjour avec cuisine américaine jouissant d'une double exposition avec vue sur la place Saint François. Emplacement prisé, aucun vis à vis, pas de travaux, climatisation, excellente rentabilité. › Bien vendu libre de toute occupation. › Aucune procédure en cours (articles 29-1A/29-1 loi 65-557, L. 615-6 du CCH) › Bien en copropriété: 7 lots (communiqué par le propriétaire) › Montant moyen de la quote-part de charges courantes: 800 euros / an › Taxe foncière: 489 euros / an › Consommation énergétiques: E (240) › Émission de gaz à effet de serre: B (8) › Prix hors honoraire: 202 100 euros › Honoraires TTC: 12 900 euros › Les honoraires d'agence seront intégralement à la charge du vendeur. La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de l'agent commercial mandaté pour la vente de ce bien › MDB France - › Non-détention de fonds › Registre du commerce › Carte professionnelle | Pour plus d'informations sur ce bien ou organiser un rendez-vous, contactez Olivier BERNABEU.
1489;Cannes Palm Beach appartement 2 pièces, à vendre, terrasse, garage mer plages A vendre, Cannes Palm Beach, Appartement 2 pièces de 40 m² donnant sur une belle grande terrasse de 23 m² orientée au sud, Appartement récent en parfait état, quartier calme et recherché à proximité immédiate des plages, de la mer et des commerces à pied. Résidence récente, cave et garage double en sous-sol. Réf 369va.
1490;Beau 2 pièces meublé avec goût au 28 Rue Bottéro (mobilier neuf), quartier Fleurs-Gambetta. Appartement calme composé d'une entrée et d'un placard, un séjour avec un coin cuisine entièrement équipée (lave-linge), une chambre, une salle de douche avec WC, balcon. ..Proche toutes commodités.
1491;Beau studio meublé, avec cuisine indépendante et mezzanine. Au 4ème étage avec ascenseur, ce studio est composé d'une entrée, d'une cuisine séparée, d'une salle de douche et WC indépendant, d'un séjour avec mezzanine. Très lumineux. ..Chauffage collectif.
1492;VILLARS SUR VAR - MAISON DE VILLAGE - F4/F5 SPÉCIAL CONFINEMENT ! VISITEZ CE BIEN SANS SORTIR DE CHEZ VOUS ! VILLARS SUR VAR Dans un charmant petit village situé à 45 km de Nice et 30 mn de Carros, proche de toutes commodités,(commerces, écoles, médecins et transports) Maison de village 4/5 pièces de 115M² sur 3 niveaux, en très bon état, traversante Nord/Sud. Elle se compose, d'une cuisine, un séjour, WC séparé, 2 grandes chambres, une chambre de maître, une chambre en mezzanine, une buanderie, et une salle de douche avec WC. Une cave complète ce bien, le parking publique est à 2 mn à pied, stationnement facile, et calme absolu au rendez-vous. › Bien vendu libre de toute occupation. › Aucune procédure en cours (articles 29-1A/29-1 loi 65-557, L. 615-6 du CCH) › Bien en copropriété: non › Taxe foncière: 319 euros / an › Consommation énergétiques: D (222.7) › Émission de gaz à effet de serre: B (10.9) › Prix hors honoraire: 177 190 euros › Honoraires TTC: 11 310 euros › Les honoraires d'agence seront intégralement à la charge du vendeur. › La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de l'agent commercial mandaté pour la vente de ce bien. › MDB France - › Non-détention de fonds › Registre du commerce › Carte professionnelle | Pour plus d'informations sur ce bien ou organiser un rendez-vous, contactez Olivier BERNABEU.
1493;NICE CORNICHE FLEURIE - F1 - TERRASSE - EXPOSITION SUD - PARKING EN SUS SPÉCIAL CONFINEMENT ! VISITEZ CE BIEN SANS SORTIR DE CHEZ VOUS ! F1 à NICE - CORNICHE FLEURIE Vendu avec locataire en place en bail meublé 690euros/Mois NICE OUEST Corniche Fleurie: dans Résidence de Standing sécurisée avec gardien, proches transports et écoles. Confortable F1 exposé plein Sud, Bon État Général, Séjour sur balcon avec vue mer, Cuisine Indépendante Aménagée possibilité US, WC indépendant, rangements. Pas de vis à vis, vue dégagée mer, calme, parking en sus. › Bien vendu loué. › Aucune procédure en cours (articles 29-1A/29-1 loi 65-557, L. 615-6 du CCH) › Bien en copropriété: 68 lots (communiqué par le propriétaire) › Montant moyen de la quote-part de charges courantes: 1 787 euros / an › Taxe foncière: 708 euros / an › Consommation énergétiques: B (65) › Émission de gaz à effet de serre: C (15) › Prix hors honoraire: 139 622 euros › Honoraires TTC: 8 378 euros › Les honoraires d'agence seront intégralement à la charge du vendeur. › La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de l'agent commercial mandaté pour la vente de ce bien. › MDB France - › Non-détention de fonds › Registre du commerce › Carte professionnelle | Pour plus d'informations sur ce bien ou organiser un rendez-vous, contactez Olivier BERNABEU.
1494;LA TRINITE - LAGHET - F3 - DERNIER ETAGE - TERRASSES - CAVE - GARAGE SPÉCIAL CONFINEMENT ! VISITEZ CE BIEN SANS SORTIR DE CHEZ VOUS ! F3 à La Trinité - Quartier Laghet Dans un immeuble au calme et entouré de verdure, proche des commerces et de toutes commodités Lumineux 3 pièces d'angle en dernier étage, disposant d'un séjour ouvert sur terrasse exposée Ouest avec vue dégagée collines, cuisine indépendante (possibilité américaine), 2 grandes chambres, salle de douche, toilette indépendant, dressing. Une cave ainsi qu'un garage en sus complètent ce bien. Lumineux, aucun vis à vis, calme absolu, étanchéité terrasse en cours. › Bien vendu libre de toute occupation. › Aucune procédure en cours (articles 29-1A/29-1 loi 65-557, L. 615-6 du CCH) › Bien en copropriété: 48 lots (communiqué par le propriétaire) › Montant moyen de la quote-part de charges courantes: 2 267 euros / an › Taxe foncière: 1 092 euros / an › Consommation énergétiques: E (232) › Émission de gaz à effet de serre: E (54) › Prix hors honoraire: 175 000 euros › Honoraires TTC: 10 500 euros › Les honoraires d'agence seront intégralement à la charge du vendeur. La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de l'agent commercial mandaté pour la vente de ce bien › MDB France - › Non-détention de fonds › Registre du commerce › Carte professionnelle | Pour plus d'informations sur ce bien ou organiser un rendez-vous, contactez Olivier BERNABEU.
1495;Votre agence Stéphane Plaza à Grasse: A vendre EN EXCLUSIVITÉ dans le secteur recherché de Saint Antoine, dans une résidence sécurisée proche voie rapide et écoles, un beau 3 pièces avec terrasse et vue dégagée. Il se compose d'un lumineux séjour ouvrant sur terrasse, cuisine indépendante aménagée, 2 chambres, un dressing, une salle de bains et WC indépendant. Climatisation réversible, 2 stationnements et une cave viennent compléter cette offre. Idéal premier, achat, Coup de coeur ! A voir rapidement !! RSAC: 835 140 393 STÉPHANE PLAZA GRASSE LES MEILLEURS AGENTS POUR VOUS TROUVEZ LE BON COIN OU SE LOGER A GRASSE Copropriété de 202 lots (Pas de procédure en cours). Charges annuelles: 1836 euros.
1496;Nice Madeleine, ..Spacieux F1 bis meublé de 30 m2, traversant et lumineux situé au 1er et dernier étage d'une petite co-propriété...Le bien se compose d'une cuisine équipée ouverte sur le séjour , une salle de bains avec baignoire d'angle, un Wc séparé, une chambre séparée avec clic-clac et bureau neufs...Le bien est situé à 10 mn à pieds des Facultés et de la promenade des anglais. ..Loyer 620 € charges incluses ...Pour étudiant(e) avec caution parentale.
1497;Votre agence Era Cannes la Bocca vous propose à la vente cet appartement de type F1 de 39 m2 situé dans une résidence avec parcs et piscines 'Les 3 rivières'. L'appartement est composé d'une entrée avec placards, d'une grande pièce à vivre avec alcôve pour le coin nuit , d'une cuisine indépendante, d'une salle de douche avec wc et d'une belle terrasse exposée Ouest avec vue dégagée ...Un garage en sous-sol complète le bien...Idéal investisseur ou première acquisition!!!..Contactez votre Agence Era Cannes la Bocca au 04.93.48.60.60
1498;GRAND F1 MEUBLE FRANCE / MAGNAN GRAND F1 MEUBLE A 5 MN DU TRAM ET DE MAGNAN, 10 MN DES COMMERCES: doté d'une surface habitable de 28.86 m² au 3ème étage, d'un immeuble bourgeois avec un balcon desservant le séjour et la cuisine indépendante. Une belle salle de bains Nombreux rangements. Quartier très agréable et recherché pour ses nombreuses commodités. Appartement très confortable. LES PLUS: LA SITUATION. LA CUISINE INDÉPENDANTE. LE BALCON. LES RANGEMENTS Réf. Annonce: Grand Sud.
1499;Spacieux T4 à deux pas de la mer Nextimmo vous propose à Roquebrune Cap Martin, au coeur de Carnoles dans un immeuble de haut standing, cet appartement 4 pièces de 120 m2 avec 50m2 de terrasse. Au 3 ème étage, il se compose d'une entrée, d'un spacieux double séjour, d'une cuisine indépendante, trois belles chambres, une salle d'eau, une salle de bains, deux WC indépendants, de nombreux rangements ainsi que d'une terrasse faisant le tour de l'appartement de plus de 50m2. A deux pas de la mer et de toutes les commodités, vous pourrez profiter de sa double exposition et de sa vue mer et montagnes. Un garage et une cave complètent ce bien. Exposition Sud Est..Honoraires à la charge du vendeur. Barèmes d’honoraires : http://www.next-immo.fr
1500;Centre de la Trinité à proximité de toutes commodités.....Jolie villa mitoyenne en pleine propriété de 4 Pièces. Elle se compose, en rez de jardin d'un salon avec cheminée, une cuisine équipée, un coin bureau, une salle de douche WC et une cave voutée. ....Au rez de chaussée vous trouverez un séjour avec cuisine équipée, 2 belles chambres, une salle de bain et WC indépendant.....la villa peut être diviser en 2 appartements totalement indépendants. les travaux de toiture, les huisseries ainsi qu'une pompe à chaleur ont été effectués.....Le tout sur un terrain de 416m² avec un grand garage ou l'on peux stationner deux voitures, une pergolas et un magnifique jardin arboré.....Rare dans le secteur!
1501;Puget-Théniers - au centre du village ..Appartement 2 pièces situé au 3ème étage ..Meublé ..Loyer mensuel 450€ (hors charges)....Contact uniquement par téléphone ..Josephine 0686943152
1502;A VENDRE 3 PIÈCES, NICE CHAMBRUN HENRY DUNANT - En DERNIER ETAGE dans un immeuble des années 90 avec ascenseur, lumineux et ensoleillé 3 pièces de 70 m². Cet appartement vous séduira par son vaste espace à vivre de 32 m² avec cuisine américaine équipée s'ouvrant sur une profonde TERRASSE à ciel ouvert de 12 m² en exposition sud-ouest. Un espace nuit séparé ce composé d'un dégagement avec placards, de deux chambres, d'une salle de douche avec rangements et d'un toilette séparé. Un parking privatif en sous-sol est inclus dans la vente. Bien soumis à la la copropriété. Nbre de lots: 20 Charges courantes: 2582euros/an. Les honoraires sont à la charge du vendeur.
1503;CARRE D'OR, rue piétonne, dans la résidence LE GIBRALTAR, 2ème étage avec ascenseur, comprenant une entrée, un espace nuit (lit 140 cm), un séjour avec cuisine ouverte, une salle de bain avec WC et un balcon. ..Chauffage collectif.
1504;CARRE D'OR, rue piétonne, dans la résidence LE GIBRALTAR, 6ème étage, ascenseur, gardienne, grand studio avec coin nuit, composé d'un séjour avec cuisine ouverte, un espace nuit avec placard mural, une salle de bains avec WC, grand balcon. ..Chauffage collectif. ..Rare.
1505;Dans résidence de standing sécurisée, facile d’accès, saine, bonne hauteur...Libre, payable par trimestre, caution 50 euros.
1506;Rue Clément Roassal au pied du marché et du tramway...Bel imm. bourgeois avec ascenseur...4P 90m² + balcons, traversant EST-OUEST, refait neuf...1er étage. Possibilité profession libérale...Séjour 34m² avec cuisine ouverte équipée neuve...Belle hauteur sous plafond avec staff d'origine. Beaucoup de charme. Sol parquet. Double vitrage. 1 cave...Chauff. collectif + eau ind. Charges: 230€:mois - TF: 1230€..Syndic pro. Pas de procédure. Nbre de lots: 28..Honoraires à charge vendeurs
1507;Vente en direct par le propriétaire..- Sans honoraires de vente...Au 73 Impasse des Escaliers à Roquebrune Cap Martin, à proximité immédiate du centre et de la mer, appartement T3 situé au 1er étage sans ascenseur dans la résidence Le Fort, construction de 1963...Il comprend 2 chambres donnant sur balcon dont une avec placard, une salle de bain, un WC indépendant, 2 placards dans le dégagement, un séjour donnant sur balcon de 9,69m² exposé EST et une cuisine donnant sur une terrasse de 35,75 m² exposée OUEST...Vendu avec une cave et une place de parking privée...Possibilité d'acquérir une seconde place à 7000€...Chauffage individuel gaz...Copropriété en cours de constitution de 101 lots dont 31 logements...Quote part de charges théoriques annuelles : 1656€ soit 138€ / mois...Pas de procédures.....Bien En copropriété : NON....
1508;Annonce visible = LOGEMENT TOUJOURS DISPONIBLE...*NOUVEAUTE !* BAIL MOBILITE OU ETUDIANT d'Octobre à Juin !..Les Baumettes - NICE (06200)..Venez vite découvrir ce studio de 16 m² meublé et entièrement rénové situé au 1e étage à 15 minutes à pied de la faculté de droit !..Comprenant une pièce principale, une kitchenette aménagée et équipée et salle d'eau avec WC...Le chauffage individuelle électrique...Le bâtiment est équipé d'un interphone...Des écoles (de la maternelle au lycée) sont implantées à moins de 10 minutes de l'appartement. Le cinéma Jean Vigo vous attend à quelques minutes pour vos loisirs. Tout panel de restaurants et un bureau de poste...Loyer de 650 € CC, avec 30 € de charges mensuelles. Le dépôt de garantie demandé est de 1 240 €...Envie de visiter ? Contactez Julien dès maintenant par mail ou téléphone en laissant vos coordonnées. Si répondeur, laissez un message avec votre numéro, vous serez rappelé sous 24 heures ouvrées...Informations sur la location :..Disponibilité : 27/11/20
1509;Cannes Montfleury, dans résidence de standing gardiennée, récemment ravalée, 2 appartements réunis formant un 3 Pièces, rénové de 60 m² avec grandes terrasses et jardins ouest, 2 caves et box en sous sol. Copropriété de 125 lots (Pas de procédure en cours). Charges annuelles : 1872 euros. CAROLE DUPUIS Agent Commercial - Numéro RSAC : 478092539 - CANNES..Etat général : Bon Etat..Surface séjour : 21..Surface terrasse : 30..Année de construction : 2000..Chauffage : Individuel..Chauffage (mécanisme) : Air pulsé..Chauffage (mode) : Climatisation_Reversible..Cuisine : Américaine Amenagée..Numéro de mandat : 5955....Honoraire à la charge de l'Acquéreur : Vendeur..Bien En copropriété : Oui..Nombre de lots de la copropriété : 125..Montant moyen des Charges annuelles : 1872 euros..Procédure sur le Syndicat des copropriétaires : NC..Détail sur la procédure en cours : Pas de procédure en cours....
1510;PALM BEACH, entièrement rénové, charmant appartement de 2 pièces doté d'un séjour ouvert sur un terrasse et jardin, orienté sud/est, cuisine américaine équipée, salle de bains et wc. Climatisation réversible, belles prestations. Possibilité de garer 2 véhicules dans le jardin. Cave. Calme et lumineux. Copropriété de 20 lots (Pas de procédure en cours). Charges annuelles : 1308 euros...Etat général : Excellent..Fenêtre : PVC Double Vitrage..Cuisine : Américaine Equipée..Ascenceur : oui..Numéro de mandat : 6049....Honoraire à la charge de l'Acquéreur : Vendeur..Bien En copropriété : Oui..Nombre de lots de la copropriété : 20..Montant moyen des Charges annuelles : 1308 euros..Procédure sur le Syndicat des copropriétaires : NC..Détail sur la procédure en cours : Pas de procédure en cours....
1511;Studio de 20 m², situé dans le Suquet, le quartier historique de Cannes. Sa situation en fait un bien idéal pour un investissement locatif. Visite virtuelle : https://www.hdmedia.fr/visite-virtuelle/hd/cbpGmpl53-visite-virtuelle.html Copropriété de 4 lots (Pas de procédure en cours). Serge PRUNELLE Agent Commercial - Numéro RSAC : 833748486 - CANNES..Etat général : A Rafraichir..Année de construction : 1930..Chauffage (mode) : Electrique..Cuisine : IndependanteAmenageeEquipee..Numéro de mandat : 6100..* Visite virtuelle :..* Visite virtuelle perso :..* Lien visite à 360 :....Honoraire à la charge de l'Acquéreur : Vendeur..Bien En copropriété : Oui..Nombre de lots de la copropriété : 4..Procédure sur le Syndicat des copropriétaires : NC..Détail sur la procédure en cours : Pas de procédure en cours....
1512;Dans résidence de standing de 2018, bel appartement 3 pièces plein Sud bénéficiant d'une belle terrasse ensoleillée. Belles prestations avec cuisine ouverte, double vitrage, climatisation, etc. Deux belles chambres donnant sur le jardin de la résidence. Vaste salle de bains Garage en sus ( 26.500 euros) Visite virtuelle disponible en suivant le lien ci-dessous ! Copropriété de 83 lots (Pas de procédure en cours). Charges annuelles : 1347 euros...Numéro de mandat : 6108..* Visite virtuelle :....Honoraire à la charge de l'Acquéreur : Vendeur..Bien En copropriété : Oui..Nombre de lots de la copropriété : 83..Montant moyen des Charges annuelles : 1347 euros..Procédure sur le Syndicat des copropriétaires : NC..Détail sur la procédure en cours : Pas de procédure en cours....
1513;Nous avons d'autres photos et vidéos sur demande, contactez nous pour organiser une visite à distance.VIEUX NICE..- Au coeur de la Vieille Ville, proche de la Place Saint Francois , rue Saint Francois, un spacieux studio 34m2 A RENOVER au 3ème étage bénéficiant d'une vue dégagé...Appartement lumineux avec un fort potentiel...Un Hall d'entrée ...un espace Cuisine agréable et séparé ...Une pièce de vie avec vue sur la vielle vielle ...Une salle d'eau avec wc...Emplacement locatif de qualité, proche de la Place Massena, la coulée verte et les commerces de la vielle Ville...la rénovation des parties communes a été votée et réglée...Belle opportunité à ne pas laisser passer....LEGGETT IMMOBILIER, un large choix de propriétés à la vente, plus de 11 000 biens à vendre sur notre site internet, ainsi que de nombreuses visites virtuelles 360°..- Référence annonce : 118360TLL06....Maison de caractère , Raccordé à l'électricité ,....
1514;NICE NORD / EVECHE, Dans une impasse au calme, Petit immeuble bourgeois de 1900 en pierre de taille, 4 pièces d'angle et traversant d'une superficie de 102M² ouvrant sur un balcon. L'appartement est composé d'une entrée, double séjour avec cuisine américaine équipée de 35M², 3 chambres, salle de bains avec fenêtre, salle de douche + wc, 1 wc indépendant, dressing et nombreux rangements. 2 Caves en sous-sol complètent ce bien. Idéal Famille. Très bon état, clair, calme et lumineux. Proche des écoles, commodités, tramways et secteur Libération, Borriglione. Classe énergie: D. Copropriété de 8 Lots.
1515;Sur Nice ouest,à proximité de la mer et de toutes les commodités, dans une petite copropriété, au calme, très beau 4 pièces en excellent état, très lumineux, traversant nord-sud...Cet appartement est composé d'un grand séjour-salle à manger avec une cuisine américaine entièrement équipée, de trois belles chambres avec placards dont une donnant sur un balcon, d'une salle d'eau avec toilettes...Fenêtres double vitrage, climatisation.....Une cave et une place de parking complètent ce bien...DPE D.Charges 90€/mois.Taxe foncière 600€..honoraires charge vendeur
1516;Votre agence nestenn vous propose à la location ce haut de villa, au calme, très lumineux, bénéficiant d'un jardin de 300 m² environ, deux stationnements vous y découvrirez une pièce de vie de 36 m² avec cheminée, donnant sur une terrasse loyer mensuel 1250 euros Charges comprises Copropriété de 2 lots ().
1517;Exclusivité Antibes Centre Ville Devant le nouveau Projet MARENDA LACAN Contacter Mr Bousquet Grégory Grand 2 pièces composé d'une entrée, une chambre avec salle de bain, WC séparé, un très grand séjour avec cuisine ouverte. Un parking en sous sol complète le bien. Frais d'agence Réduits !!!!! Contacter Mr Bousquet Grégory dont 2.94 % honoraires TTC à la charge de l'acquéreur. Copropriété de 35 lots (Pas de procédure en cours). Charges annuelles : 1000 euros...Etat général : Excellent..Année de construction : 1970..Chauffage : Individuel..Fenêtre : PVC Double Vitrage..Cuisine : Ouverte Aménagée Equipée....Honoraire à la charge de l'Acquéreur : Acquéreur..Pourcentage des Honoraires à la charge de l'Acquéreur : 2.94 %..Bien En copropriété : Oui..Nombre de lots de la copropriété : 35..Montant moyen des Charges annuelles : 1000 euros..Procédure sur le Syndicat des copropriétaires : NC..Détail sur la procédure en cours : Pas de procédure en cours....
1518;Contacter Mr Bousquet Grégory Antibes Secteur Rabiac Bien Atypique à découvrir rapidement. Dans une petite copropriété de 4 appartements, Nous vous proposons un 3 pièces traversant de 70 m2 entièrement rénové au 2ème et dernier étage sans ascenseur, jouissance exclusive et privative du Toit Terrasse ( non exploité aujourd'hui ), un double Box de plain pied avec un studio attenant. Contacter Mr Bousquet Grégory dont 4.86 % honoraires TTC à la charge de l'acquéreur. Copropriété de 4 lots (Pas de procédure en cours). Charges annuelles : 2280 euros...Etat général : Bon Etat..Surface terrasse : 60..Année de construction : 1964..Chauffage : Collectif..Fenêtre : PVC Double Vitrage..Cuisine : Ouverte Aménagée Equipée....Honoraire à la charge de l'Acquéreur : Acquéreur..Pourcentage des Honoraires à la charge de l'Acquéreur : 4.86 %..Bien En copropriété : Oui..Nombre de lots de la copropriété : 4..Montant moyen des Charges annuelles : 2280 euros..Procédure sur le Syndicat des copropriétaires : NC..Détail sur la procédure en cours : Pas de procédure en cours....
1519;FAIRE OFFRE !! Dans une petite copropriété, idéalement situé à proximité des commerces, joli deux pièces au 2ème étage, composé d'une entrée, un séjour donnant sur une terrasse profonde sans vis à vis, une cuisine équipée, une chambre avec placard, une salle de bain avec wc. parking collectif dans la résidence, cave et possibilité garage fermé en supplément. ( proche bus, gare, écoles ) à voir rapidement.Contactez Jordan Benatar FRAIS D'AGENCE RÉDUITS !I dont 3.33 % honoraires TTC à la charge de l'acquéreur. Copropriété de 36 lots (Pas de procédure en cours). Charges annuelles : 1680 euros...Etat général : Bon Etat..Année de construction : 1985..Chauffage : Individuel..Cuisine : IndependanteEquipee..Ascenceur : oui..Fibre optique : Oui....Honoraire à la charge de l'Acquéreur : Acquéreur..Pourcentage des Honoraires à la charge de l'Acquéreur : 3.33 %..Bien En copropriété : Oui..Nombre de lots de la copropriété : 36..Montant moyen des Charges annuelles : 1680 euros..Procédure sur le Syndicat des copropriétaires : NC..Détail sur la procédure en cours : Pas de procédure en cours....
